dataset,test_set,language_pair,metric,total_saved_annotations,mean_saved_annotations,num_valid_saving_pairs,num_retained_pair_metric_rows,num_original_pair_metric_rows,num_excluded_human_unreachable_pairs,ppsr,ppsr_num_pairs,num_retained_pairs,saving_rank,ppsr_rank
wmt23 ja-en,wmt23,ja-en,eBLEU-refA:seg,343.0,2.8823529411764706,119,119,136,17,0.028965838683031618,119,119,29.0,29.0
wmt23 ja-en,wmt23,ja-en,embed_llama-refA:seg,237.0,1.9915966386554622,119,119,136,17,0.01679650345055834,119,119,32.0,31.0
wmt23 ja-en,wmt23,ja-en,f200spBLEU-refA:seg,319.0,2.680672268907563,119,119,136,17,0.022304884744762984,119,119,30.0,30.0
wmt23 ja-en,wmt23,ja-en,mre-score-labse-regular-refA:seg,377.0,3.168067226890756,119,119,136,17,0.032802117343750194,119,119,28.0,28.0
wmt23 ja-en,wmt23,ja-en,prismRef-refA:seg,734.0,6.168067226890757,119,119,136,17,0.06793900699416991,119,119,12.0,13.0
wmt23 ja-en,wmt23,ja-en,prismSrc-src:seg,-18.0,-0.15126050420168066,119,119,136,17,0.005739928497139695,119,119,35.0,34.0
wmt23 ja-en,wmt23,ja-en,tokengram_F-refA:seg,507.0,4.260504201680672,119,119,136,17,0.044565306457518446,119,119,24.0,26.0
wmt24 cs-uk,wmt24,cs-uk,BERTScore-refA:seg,706.0,15.347826086956522,46,46,55,9,0.0806573400496453,46,46,10.0,10.0
wmt24 cs-uk,wmt24,cs-uk,BLEU-refA:seg,311.0,6.760869565217392,46,46,55,9,0.043117813148266536,46,46,19.0,20.0
wmt24 cs-uk,wmt24,cs-uk,BLEURT-20-refA:seg,807.0,17.543478260869566,46,46,55,9,0.11166470310234435,46,46,7.0,5.0
wmt24 cs-uk,wmt24,cs-uk,COMET-22-refA:seg,904.0,19.652173913043477,46,46,55,9,0.11438021517236076,46,46,2.0,3.0
wmt24 cs-uk,wmt24,cs-uk,CometKiwi-XXL-src:seg,169.0,3.6739130434782608,46,46,55,9,0.021373521731968367,46,46,23.0,24.0
wmt24 cs-uk,wmt24,cs-uk,CometKiwi-src:seg,226.0,4.913043478260869,46,46,55,9,0.02563285998826207,46,46,21.0,22.0
wmt24 cs-uk,wmt24,cs-uk,MetricX-24-Hybrid-QE-src:seg,323.0,7.021739130434782,46,46,55,9,0.04604509317362634,46,46,18.0,18.0
wmt24 cs-uk,wmt24,cs-uk,MetricX-24-Hybrid-refA:seg,841.0,18.282608695652176,46,46,55,9,0.10902383007748526,46,46,6.0,6.0
wmt24 cs-uk,wmt24,cs-uk,MetricX-24-QE-src:seg,294.0,6.391304347826087,46,46,55,9,0.04473290321199821,46,46,20.0,19.0
wmt24 cs-uk,wmt24,cs-uk,MetricX-24-refA:seg,955.0,20.76086956521739,46,46,55,9,0.12906452075174235,46,46,1.0,1.0
wmt24 cs-uk,wmt24,cs-uk,PrismRefMedium-refA:seg,845.0,18.369565217391305,46,46,55,9,0.11648663726552977,46,46,4.0,2.0
wmt24 cs-uk,wmt24,cs-uk,PrismRefSmall-refA:seg,797.0,17.32608695652174,46,46,55,9,0.11209621322865526,46,46,8.0,4.0
wmt24 cs-uk,wmt24,cs-uk,XCOMET-QE-src:seg,194.0,4.217391304347826,46,46,55,9,0.027684539617059724,46,46,22.0,21.0
wmt24 cs-uk,wmt24,cs-uk,XCOMET-refA:seg,482.0,10.478260869565217,46,46,55,9,0.06352903201522374,46,46,15.0,15.0
