dataset,test_set,language_pair,pair_index,system_a,system_b,metric,annotations_saved,corr_sq,human_threshold_status
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,COMETKiwi-src:seg,1.0,0.0486086181643641,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,Cross-QE-src:seg,-6.0,0.07514021157737778,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,HWTSC-TLM-src:seg,-1.0,0.011535082403870802,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,HWTSC-Teacher-Sim-src:seg,-3.0,0.0059240950159423645,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,KG-BERTScore-src:seg,-5.0,0.0020638134702746884,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,MATESE-QE-src:seg,-6.0,0.013090649693914989,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,MATESE-refA:seg,-2.0,0.07151763556950265,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,MEE-refA:seg,3.0,0.02099781037598891,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,MEE2-refA:seg,1.0,0.02993212700358638,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,MEE4-refA:seg,4.0,0.03451347474532057,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,MS-COMET-22-refA:seg,3.0,0.028968555381940445,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,MS-COMET-QE-22-src:seg,1.0,0.005446823043903599,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,REUSE-src:seg,8.0,0.01572742125263186,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,SEScore-refA:seg,11.0,0.04035148329147947,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,UniTE-ref-refA:seg,19.0,0.09758066221892621,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,UniTE-refA:seg,14.0,0.09186527080809546,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,UniTE-src-src:seg,6.0,0.04288213796482921,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,YiSi-1-refA:seg,6.0,0.0372289195182397,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,chrF-refA:seg,6.0,0.037251942298318456,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,f101spBLEU-refA:seg,4.0,0.020531636855641817,brentq
wmt22 en-de,wmt22,en-de,1,Online-W,Online-B,f200spBLEU-refA:seg,5.0,0.023251947051837734,brentq
